0	That is in Israel's interest, Palestine's interest, America's interest, and the world's interest.
0	That's how progress happens -- in societies and in our own lives.
0	But we should choose the right path, not just the easy path.
2	They want to work, and they can work, and this is a tremendous pool of people.
1	A captured al Qaeda document describes the terrorists' plan to infiltrate and seize control of the province.
2	The level of world cooperation and condemnation of Iraq is unprecedented.
0	Threatening Israel with destruction or repeating vile stereotypes about Jews is deeply wrong and only serves to evoke in the minds of Israelis this most painful of memories while
0	And I will restore our moral standing , so that America is once again that last , best hope for all who are called to the cause of freedom
1	These virtues give me an unshakable faith in America.
2	The legitimate government of Kuwait will be restored to its rightful place, and Kuwait will once again be free.
2	This is just the beginning of a steady flow of American troops coming home.
0	When one nation pursues a nuclear weapon, the risk of nuclear attack rises for all nations.
0	But , contrary to what we hear sometimes from both the left as well as the right , the system isn ’ t as rigged as you think ,
2	At the same time, peace brings real benefits to everyone.
1	This is a tribute to those who toil night and day to keep us safe—law enforcement officers , intelligence analysts , homeland security and diplomatic personnel , and the
2	This historic act is the world's first comprehensive declaration of equality for people with disabilities—the first.
2	It seems to me the Presidency provides an incomparable opportunity for "gentle persuasion."
0	That commitment is at the core of the treaty, and it must be kept for all who fully abide by it.
0	This was my pledge to the American people as a candidate for this office.
2	When I was a torpedo bomber pilot they defined the mission for us.
2	A world in which there is the very real prospect of a new world order.
0	The Palestinian Authority must develop its capacity to govern with institutions that serve the needs of its people.
2	Together, we must remove the physical barriers we have created and the social barriers that we have accepted.
0	Whether we have seen eye to eye or rarely agreed at all , my conversations with you , the American people , in living rooms and in schools ,
0	Today, America has a dual responsibility to help Iraq forge a better future and to leave Iraq to Iraqis.
0	Around the world , we can turn dialog into interfaith service , so bridges between peoples lead to action , whether it is combating malaria in Africa or providing
2	This job has four basic parts.
0	And this cycle of suspicion and discord must end.
0	Take it with a grain of salt.
0	In the past, it used to be a top CEO made 20 or 30 times the income of the average worker.
1	The most important tasks of a democracy are done by everyone.
0	Because it feeds into the cynicism we all have about government.
2	In foreign affairs I will continue our policy of peace through strength.
0	It is time for us to act on what everyone knows to be true.
2	We must do all that we can to close the gap between Israel and the Arab States—and between Israelis and Palestinians.
1	Victory will not look like the ones our fathers and grandfathers achieved.
2	It predated Saddam Hussein's aggression and will survive it.
0	And we will keep our promise to every young American - if you commit to serving your community or your country , we will make sure you can afford
2	He says, "Let's free these people, so we can go home and be free again."
2	It's time to put an end to micromanagement of foreign and security assistance programs—micromanagement that humiliates our friends and allies and hamstrings our diplomacy.
0	Now, it’s time to turn the page.
2	These countries had hoped the use of force could be avoided.
0	Only if our politics better reflects the decency of our people.
0	They believed in rational thought and experimentation, and the capacity of informed citizens to master our own fates.
